0.79,0.01,5.4599
0.55,0.79,7.1253
0.29,0.07,6.4021
0.43,0,7.8067
0.37,0.93,6.5579
0.62,0.12,7.3176
0.75,0.65,5.3584
0.76,0.97,4.9092
0.84,0.67,4.2673
0.72,0.39,5.9377
0.9,0.19,4.2136
0.99,0.08,3.8884
0.78,0.35,5.2954
0.85,0.53,4.1789
0.46,0.19,7.7266
0.99,0.68,3.2623
0.09,0.44,3.8014
0.3,0.34,6.2701
0.98,0.87,3.0759
0.19,0.31,5.1346
0.07,0.44,3.8241
0.46,0.31,7.6981
0.92,0.98,3.3244
0.24,0.06,5.7916
0.83,0.16,4.9113
0.52,0.72,7.2287
0.32,0.41,6.3901
0.52,0.51,7.4176
0.27,0.59,5.7317
0.08,0.31,3.9226
0.06,0.3,3.8469
0.52,0.84,7.1848
0.3,0.04,6.5608
0.3,0.12,6.4895
0.08,0.16,4.144
0.86,0.21,4.4593
0.94,0.5,3.6096
0.85,0.07,4.6902
0.21,0.49,4.9535
0.03,0.9,3.0969
0.81,0.09,5.2503
0.87,0.31,4.2888
1,0.64,3.3663
0.22,1,4.5887
0.99,0.51,3.5004
0.28,0.43,5.9383
0.95,0,4.1158
0.37,0.36,7.0808
0.06,0.08,4.0541
0.96,0.03,4.0739
0.32,0.74,6.1128
0.42,0.19,7.4775
0.22,0.96,4.721
0.37,0.14,7.2085
0.09,0.3,4.056
0.95,0.13,3.9121
0.65,0.42,6.6912
0.32,0.75,6.0516
0.92,0.08,4.1264
0.62,0.35,7.065
0.31,0.18,6.6047
0.93,0.46,3.7384
0.19,0.19,5.1036
0.78,0.05,5.4765
0.85,0.61,4.3178
0.5,0.41,7.6463
0.4,0.23,7.3699
0.58,1,6.7149
0.62,0.79,6.7052
0.73,0.5,5.6972
0.79,0.75,4.7204
0.88,0.7,3.9565
0.31,0.56,6.1546
0.68,0.05,6.8235
0.09,0.36,3.9651
0.3,0.3,6.261
0.07,0.68,3.5208
0.29,0.82,5.6266
0.19,0.57,4.7372
0.52,0.5,7.4797
0.22,0.1,5.4713
0.66,0.06,7.0094
0.93,0.41,3.7812
0.49,0.72,7.2786
0.83,0.04,4.9747
0.8,0.29,5.0384
0.87,0.87,3.7458
0.35,0.91,6.2851
0.3,0.95,5.7071
0,0.91,3.1145
0.51,0.76,7.1786
0.91,0.57,3.8202
0.16,0.84,4.0667
0.29,0.04,6.4671
0.56,0.99,6.8858
0.71,0.7,5.6891
0.51,0.96,6.964
0.02,0.19,3.8874
0.2,0.41,4.9459
0.15,0.2,4.5812
0.32,0.64,6.217
0.79,0.62,4.9205
0.42,0,7.6767
0.29,0.24,6.3399
0.88,0.02,4.5446
0.31,0.76,5.9393
0.96,0.04,3.9246
0.64,0.23,7.0463
0.98,0.19,3.8218
0.83,0.99,4.0936
0.7,0.25,6.4023
0.95,0.05,4.0841
0.26,0.27,5.9292
0.28,0.24,6.1054
0.93,0.24,3.9531
0.27,0.05,6.2395
0.25,0.75,5.2571
0.08,0.24,3.9759
0.48,0.6,7.3164
0.64,0.66,6.6775
0.02,0.28,3.7738
0.05,0.45,3.6684
0.09,1,3.2454
0.36,0.08,7.3271
0.53,0.72,7.1731
0.36,0.07,7.1803
0.66,0.07,7.0113
0.39,0.32,7.2894
0.23,0.95,4.7695
0.8,0.47,4.8198
0.96,0.23,3.8798
0.87,0.03,4.6307
0.95,0.24,3.8692
0.15,0.15,4.6692
0.39,0.54,7.0393
0.04,0.16,3.8758
0.84,0.07,4.8921
0.59,0.45,7.316
0.8,0.23,5.1223
0.28,0.05,6.2781
0.93,0.76,3.3306
0.1,0.53,3.7136
0.03,0.24,3.7579
0.5,0.24,7.7515
0.97,0.88,3.2267
0.3,0.23,6.3576
0.98,0.02,3.8847
0.29,0.31,6.2366
0.82,0.31,4.8221
0.01,0.19,3.8538
0.61,0.36,7.2314
0.38,0.67,6.7885
0.25,0.78,5.2272
0.15,0.36,4.5589
0.53,0.19,7.733
0.76,0.24,5.6231
0.57,0.13,7.6281
0.1,0.01,4.3339
0.66,0.44,6.6097
0.93,0.62,3.643
0.3,0.13,6.3592
0.27,0.1,6.1838
0.81,0.18,5.0406
0.57,0.95,6.9159
0.99,0.52,3.6056
0.81,0.61,4.6907
0.72,0.79,5.5169
0.69,0.13,6.6143
0.46,0.45,7.4815
0.38,0.44,7.0299
0.71,0.25,6.2424
0.41,0.41,7.3211
0.54,0.39,7.564
0.1,0.93,3.3936
0.65,0.7,6.4285
0.55,0.54,7.2502
0.9,0.59,3.8807
0.37,0.17,7.2179
0.7,0,6.5835
0.9,0.53,3.8129
0.66,0.05,7.0296
0.39,0.78,6.7099
0.84,0.19,4.798
0.56,0.68,7.0764
0.09,0.98,3.2807
0.22,0.8,4.6706
0.92,0.05,4.2101
0.13,0.48,4.2256
0.28,0.69,5.635
0.81,0.78,4.5466
0.35,0.49,6.6132
0.15,0,4.8633
0.88,0.65,3.9086
0.95,0.01,4.0228
0.98,0.42,3.4791
0.29,0.39,6.1607
0.25,0.14,5.8587
0.03,0.34,3.689
0.28,0.14,6.2557
0.97,0.32,3.8284
0.51,0.82,7.1609
0.5,0.21,7.7504
0.83,0.6,4.4164
0.45,0.96,6.9477
0.66,0.26,6.9067
0.96,0.12,3.8822
0.76,0.98,4.9106
0.09,0.35,3.9689
0.18,0.8,4.374
0.34,0.62,6.4085
0.76,0.91,4.9155
0.96,0.5,3.5407
0.7,0.74,5.9466
0.54,0.54,7.3336
0.63,0.23,7.1924
0.04,0.65,3.3997
0.56,0.04,7.8342
0.97,0.72,3.2609
0.55,0.43,7.5389
0.43,0.03,7.7441
0.16,0.3,4.6649
0.2,0.03,5.401
0.47,0.72,7.2841
0.48,0.83,7.1428
0.56,0.65,7.1812
0.08,0.65,3.6126
0.41,0.34,7.2814
0.81,0.53,4.6673
0.86,0.83,3.9595
0.46,0.59,7.2777
0.25,0.86,5.1366
0.19,0.12,5.2946
0.14,0.37,4.3356
0.33,0.49,6.385
0.38,0.29,7.0712
0.07,0.96,3.2068
0.59,0.81,6.8618
0.14,0.71,3.9607
0.22,0.33,5.193
0.17,0.09,4.9142
0.68,0.91,5.9332
0.23,0.31,5.5287
